prompt,prompt_len,target
"European Shipbuilders Mull Mergers (AP) AP - European defense companies know they must unite to keep up, as the gap in military spending between the United States and its NATO allies continues to widen. But a push to consolidate Europe's fragmented shipbuilding sector  #151; a minefield of national, corporate and labor sensitivities  #151; is proving slow and difficult.",80,1
"Review Finds Fla. Counties Voted for Bush (AP) AP - A newspaper's review of ballots cast in three north Florida counties where registered Democrats heavily outnumber Republicans showed just what officials reported: The counties' voters did on Election Day as they often do, voting for a Republican for president.",60,1
"BellSouth Profit Drops 14.6; Wireless Costs Get Some Blame The BellSouth Corporation, the third-largest Bell operating company, said yester that profit dipped 3.6 percent in the third quarter as expenses rose because of this summer's hurricanes and costs at its Cingular Wireless division.",62,0
"Iran Tests 'Strategic Missile' TEHRAN, Iran - Iran said Saturday it successfully tested a ""strategic missile"" and delivered it to its armed forces, state-run radio reported.    The report did not say whether the missile was the previously announced new version of the Shahab-3 rocket, which already was capable of reaching Israel and U.S...",73,1
"PeopleSoft board rejects Oracle bid PeopleSoft's board turns down Oracle's ""best and final"" offer. But the database software giant is still on the prowl.",36,0
"Sharon opposes peace talks with Syria for now Israeli Prime Minister Ariel Sharon said Thursday that he wouldn #39;t recommend to open negotiations with Syria when terror groups are operating there, Jerusalem Post reported.",41,1
Napalm joke gets advert banned An advert for a Vietnam War PlayStation 2 game is banned over a reference to napalm.,26,0
"51 held over deadly feud in Naples Police have detained more than 50 people in a swoop on the local mafia, known as the Camorra, in the southern Italian city of Naples, which has been the scene of an escalating turf war.",51,1
Rugby U: Wales crush Romania Tom Shanklin scores a record-equalling four tries as Wales overwhelm Romania.,23,1
"Man Utd deny receiving firm takeover bid MANCHESTER, Oct 15 (SW) - Following the recent speculation over a potential takeover bid issued by US tycoon Malcolm Glazer, Manchester United have announced they have yet to receive a firm offer.",49,0
"1,000 Protesters Oppose Mubarak in Cairo (AP) AP - About 1,000 people gathered downtown Sunday, many with their mouths covered by yellow stickers reading ""Enough,"" to protest the possibility that President Hosni Mubarak might run for a fifth term or that his son, Gamal, might succeed him.",69,1
"Return to Nuclear Talks Tricky, N.Korea Daily Says North Korea will find it difficult to return to nuclear talks if the United States keeps insisting that Pyongyang renounce peaceful as well as military atomic activities, the North #39;s main newspaper said on Tuesday.",54,1
"Kodak buys National Semis imaging business ROCHESTER, NYEastman Kodak will acquire the imaging business of National Semiconductor Corp., which develops and manufactures metal oxide semiconductor image sensor devices.",37,0
Moss goes through Vikings morning walkthrough Minnesota Vikings head coach Mike Tice says his star receiver is looking better this week after being limited last week by a strained hamstring.,33,0
"Waiting For Google NEW YORK - Benjamin Franklin, that annoying know-it-all, famously said,  quot;Never put off until tomorrow that which you can do today.",36,0
"Study: Workers Find IM a Mixed Blessing A report released Thursday by the Pew Internet and American Life Project says US workers are increasingly using instant messaging (IM) in the workplace, with approximately 11 million Americans logging into an IM program daily.",50,0
"Utilities Uneven in  Managing  Vegetation Utilities running the nation's high-voltage electric lines have done extensive tree trimming that should cut chances of blackouts, according to a federal report released Wednesday.",41,0
"News: Marine Corps deploys Fallujah biometric ID scheme US forces in Iraq are attempting to tame Fallujah with biometric ID, according to an NBC news report broadcast last week.",38,0
"F1 to change qualifying rules SAO PAULO, Brazil -- Formula One will try to add suspense with a new qualifying system that determines pole position the day of the race, instead of the day before, the sport #39;s governing body said yesterday.",54,0
Pensions computer failure the  #39;worst ever #39; Civil Servants have been reduced to writing out benefit claims by hand after what experts are calling the biggest crash in computer history.,41,0
"Fresh Violence Erupts in Southern Thailand (AP) AP - Fresh violence erupted Thursday with the bombing of a bar in Thailand's mostly Muslim south, while villagers held a mass burial for some of the 78 protesters who suffocated while in army custody this week.",55,1
"Rising oil prices fuel German inflation (AFP) AFP - Inflation in Germany, the eurozone's biggest economy, picked up to 2.0 percent last month from 1.8 percent in July as a result of high oil prices, official data showed.",54,0
"Martha Stewart Asks Judge Jail Me Now (Reuters) Reuters - Lifestyle guru Martha Stewart said on\Wednesday she wants to serve her prison sentence for lying over\a suspicious stock sale as soon as possible so she can put her\""nightmare"" behind her.",52,0
"Car bomb blasts near US convoy in Mosul A car bomb blasted near a US military convoy in the Iraqi city of Mosul on Friday, wounding at least 10 civilians, Qatar-based al-Jazeera television reported.",47,1
"Double MyDoom for Internet Explorer flaw A second version of the MyDoom variant that uses a flaw in Internet Explorer has started to spread, antivirus researchers said on Tuesday.",34,0
Montgomery Doping Hearing Set for Early November  LONDON (Reuters) - World 100 meters record holder Tim  Montgomery will appear before the Court of Arbitration for  Sport (CAS) in San Francisco in the first week of November for  a hearing over a possible life ban for doping.,60,0
Americans on nerves #39; edge at risky post FALLUJAH - Any motorist who slows down is seen as a suspected suicide bomber. Fingers squeeze triggers at the slightest movement around nearby houses.,40,1
"Flood of shares could hit Google price A flood of some 39.1 million Google shares could find their way on to the market today, potentially reducing the stock #39;s trading price, as employees and others who were able to buy into the ",54,0
U.S. Declares Genocide in Sudan's Darfur  WASHINGTON (Reuters) - The United States declared on  Thursday genocide has occurred in Sudan's Darfur region and  blamed the Khartoum government and Arab militias for the crisis  that has driven more than a million people from their homes.,62,1
"Pulling out - in Jerusalem, too On the Friday when the late Palestinian Authority chairman Yasser Arafat was buried in the courtyard of the Muqata, the media reported that because of the fear of riots, the Israeli government had decided to close the Temple Mount mosques to residents of ",58,1
Main points from the US vice presidential debate (AFP) AFP - Main points from the vice presidential debate between Republican Dick Cheney and Democrat John Edwards:,30,1
"British Guantanamo Detainee Alleges Abuse from Jail (Reuters) Reuters - A British detainee at Guantanamo Bay\said in a letter revealed Friday he was tortured and abused\during detention, in what is believed to be the first such\claim to come from inside the prison.",61,1
"Egyptian company says one Egyptian hostage in Iraq is free CAIRO, Egypt An Egyptian company says one of its four workers who had been kidnapped in Iraq has been freed. It says it can #39;t give the status of the others being held hostage but says it is  quot;doing its best to secure quot; their release.",69,1
"NASA chief applies for job as chancellor of Louisiana State &lt;b&gt;...&lt;/b&gt; The Houston Chronicle says Sean O #39;Keefe is poised to step down as NASA #39;s administrator, and that an announcement regarding his future could come as early as tomorrow.",65,0
"Glaciers Shrink, But Some Resist Global Warming (Reuters) Reuters - Glaciers are melting faster than before in\some regions from the Arctic to the Alps but others are getting\bigger, scientists said on Friday.",44,0
Lithuania Shoots Down U.S. in Men's Olympic Basketball  ATHENS (Reuters) - Sarunas Jasikevicius went on a shooting  spree in the last three minutes of play to lift Lithuania to a  94-90 victory over the United States in the men's Olympic  basketball tournament Saturday.,69,0
"Intel Calls Off Development of TV Chip Intel has stopped development of a display chip for large-screen television sets. The cancellation is yet another product setback this year for the world #39;s largest chipmaker, which has struggled with several product delays.",52,0
Authorities intend to file charges in NBA brawl (AFP) AFP - Prosecutors expect to file charges against Indiana Pacers players and Detroit Pistons supporters in the wake of a brawl last Friday that led to record suspensions and at least nine people injured.,48,0
"Aznar denies Iraq link, defends role in wake of Madrid bombings MADRID (AFP) - Former Spanish prime minister Jose Maria Aznar rejected the idea that the Madrid train bombings stemmed from his backing for the war in Iraq and told a parliamentary inquiry into the attacks that terrorist groups were inextricably linked.",61,1
"Nokia Reports Lower Profits but Strong Sales Nokia, the world's largest\cell phone maker, reported lower third-quarter earnings on\Thursday after cutting prices to claw back market share, but\said sales were strong as it enters the key Christmas season.&lt;/p&gt;",58,0
Israelis wound schoolgirl in Gaza Israeli troops shoot a Palestinian schoolgirl in Gaza as controversy rages over another girl's death last week.,30,1
Police find embassy bomb clue Police investigating last Thursday #39;s deadly bombing outside the Australian embassy in Jakarta yesterday said they had found the chassis number of the van used to deliver the bomb.,40,1
No. 7 Stanford Beat Eastern Washington (AP) AP - Candice Wiggins scored 18 points and No. 7 Stanford defeated Eastern Washington 91-50 Tuesday night in the semifinals of the Great Alaska Shootout.,48,0
"Pakistan vows to back Nepal in fight against terrorism KATHMANDU : Pakistani Prime Minister Shaukat Aziz has expressed his support for Nepal #39;s fight against terrorism, Foreign Minister Prakash Sharan Mahat said.",44,1
"US begins new Afghan operation The US says it has started a new offensive against Taleban and al-Qaeda militants, ahead of a planned poll.",30,1
"Israeli Missile Kills One in Gaza Camp -- Medics  GAZA (Reuters) - An Israeli helicopter fired a missile into  a Palestinian refugee camp in Gaza early on Saturday, killing  an elderly man and wounding at least three people, Palestinian  witnesses and medics said.",57,1
Mugabe moves against party rivals Deep splits emerge in Zimbabwe's ruling party amidst jockeying for position to succeed President Mugabe.,26,1
"Kmart Names Lewis As President, CEO Discount retailer Kmart Holding Corp. said Monday that it named Aylwin Lewis as president and chief executive and a director, effective immediately.",37,0
"Wenger ruling out goalkeeper swoop LONDON, England -- Arsene Wenger has ruled out a January transfer swoop for Australia #39;s Mark Schwarzer or any of the other goalkeepers he has been linked with.",44,0
"No deal, but I #39;ll work for unity: Anwar KUALA LUMPUR (AFP) - Malaysia #39;s former deputy prime minister Anwar Ibrahim has reiterated that there was no political deal to secure his freedom from prison but has promised to work for unity in Malaysia.",60,1
"Redskins #39; Taylor won #39;t play Sunday WASHINGTON (Ticker) - Following a poor decision off the field, rookie safety Sean Taylor will be on the sidelines when the Washington Redskins take the field Sunday.",47,0
Venezuelans Vote Early in Referendum on Chavez Rule (Reuters) Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.,65,1
"Reebok Unveils High-Tech Sneaker Pump 2.0 (AP) AP - Hoping to build on the success of a shoe that generated big sales but also was ridiculed when it was introduced 15 years ago, Reebok Inc. on Wednesday rolled out a next- generation high-tech sneaker with a name that takes a cue from computer software launches: the Pump 2.0.",81,0
"Sony #39;s PSP draws queues on 1st day About 200,000 of the sleek black devices, able to play movies, music and games, went on sale early Sunday morning as part of a drive by Sony to loosen rival Nintendo #39;s iron grip on the market for handheld game machines.",71,0
"Michael Schumacher Crashes in Sao Paulo German Michael Schumacher of Ferrari is seen at the Interlagos race track in Sao Paulo, Brazil, Saturday, Oct. 23, 2004. (AP Photo/Victor R. Caivano).",51,0
China mine blast kills 33 Thirty-three workers have been killed after a gas explosion at a coal mine in China #39;s northern Shanxi province. Officials say 71 miners were in the shaft when the blast occurred at Nanlou township.,54,1
"Krispy Kreme Earnings Slide; Change in Strategy Is Planned Krispy Kreme, which wowed Wall Street with a hot old-economy growth story when it went public, has lost more than two-thirds of its value since it peaked a year ago.",53,0
"One police officer killed in clashes with militants north of Saudi &lt;b&gt;...&lt;/b&gt; RIYADH, Saudi Arabia - One policeman was killed and three others wounded in clashes with militants in a town northeast of Riyadh, a Saudi Interior Ministry official said Friday.",61,1
Drag-and-drop flaw mars Microsoft's latest update An independent researcher finds an Internet Explorer vulnerability that could turn drag-and-drop into drag-and-infect.,36,0
"Sen. Corzine: Sudan Not Disarming Militias in Darfur Description: Sen. Jon Corzine (D-NJ), who just returned from a trip to Sudan, says he saw little evidence that Sudan is trying to disarm militias carrying out attacks in Darfur, despite government claims.",58,1
"British Airways Raises A\$1.1 Bln From Qantas Sale (Update2) British Airways Plc, Europe #39;s second- largest airline, raised about A\$1.1 billion (\$770 million) from the sale of shares in Qantas Airways Ltd.",58,0
Henman struggles through to last eight Tim Henman was made to work hard to reach the quarter-finals of the Swiss Indoors tournament yesterday before eventually overcoming South African Wesley Moodie in the second round.,42,0
"Davenport remains on title streak Top-seeded Lindsay Davenport claimed her fourth consecutive championship on Sunday with a 6-3, 6-2 victory over second-seeded Vera Zvonareva in the Western and Southern Women #39;s Open in Mason, Ohio.",58,0
"Indonesian crash death toll rises to 33 The death toll from Tuesday #39;s airline crash in Java, Indonesia, climbed to 33 as rescue workers found the body of the pilot under the plane #39;s cockpit.",52,1
"Big Blue Breaks Price Barrier With Linux Lineup IBM today released an entry-level Power5-based server tuned for Linux, the eServer OpenPower 720 -- an alternative to the higher priced HP and Sun entry-level Unix and Linux systems.",52,0
Gadget 'restored my independence' A remote control device which can operate household appliances has given a disabled man back his independence.,26,0
Record Run Gives American Joanna Hayes Hurdles Gold Joanna Hayes of the United States stamped her authority on a chaotic Olympic 100 meters hurdles competition when she blazed to the gold medal in a Games record 12.,45,0
"After making nuke deal, Iran reportedly wants exception Iran is demanding that it be allowed to make an exception in its commitment to freeze all uranium enrichment activities so it can operate about about two dozen centrifuges, diplomats said Wednesday.",45,1
"Russian Town Mourns As Putin Vows Fight BESLAN, Russia - Wails of mourning echoed through the streets of this southern Russian town on Sunday, and the region's top police officer reportedly resigned in the wake of the school hostage-taking that left more than 380 people dead - nearly half of them children.    A shaken President Vladimir Putin went on national television Saturday to make a rare and candid admission of Russian weakness in the face of an ""all-out war"" by terrorists...",102,1
"Commandos Storm Russian Siege School As Children Flee Russian special forces stormed a school Friday ending a three-day hostage crisis and freeing hundreds of children, parents and teachers held without ",37,1
"EU decides to lift arms embargo on Libya The foreign ministers #39; meeting of the European Union (EU) decided in Luxembourg Monday to lift the arms ban against Libya, which the bloc imposed 18 years ago.",46,1
Gadget show heralds MP3 season Some gadget lovers might be disappointed this Christmas as experts predict a shortage of iPod minis.,25,0
"Beach Boy Brian Wilson Has Reason to Smile at Last &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Angus MacSwan&lt;/p&gt;&lt;p&gt; SAO PAULO, Brazil (Reuters) - Considering that once upon atime he would spend weeks on end lying in bed at home inCalifornia too addled to stir, it's a surprise to find rocklegend Brian Wilson topping the bill at a festival in far awayBrazil at age 62.&lt;/p&gt;",115,1
"Zook #39;s Gators didn #39;t give up This will go down as another tough loss for Ron Zook, the beleaguered Florida head coach who was fired on Monday. Another punch in the gut.",49,0
"Arafat #39;s succession turns into power struggle ISN SECURITY WATCH (15/11/04) - The new head of the Palestinian Liberation Organization (PLO), Mahmoud Abbas, escaped unharmed Sunday when militants burst into a mourning tent for the late Yasser Arafat firing assault rifles, killing two security guards ",69,1
"Abbas opposes use of arms RAMALLAH - New PLO chairman Mahmud Abbas called for an end to the armed uprising, as Israeli tanks rolled into Gaza yesterday in the aftermath of the most lethal Palestinian attack since Yasser Arafat #39;s death.",52,1
"Oil Futures Prices Rise 4.5 on Outsize Drop in Supplies Crude oil futures prices surged by almost \$2 a barrel yesterday, the biggest increase in two months, after the Energy Department reported that United States oil supplies had declined more than expected.",51,0
"Boston Marathon Champ Johnny Kelley Dies Johnny Kelley, a two-time Boston Marathon champion who became a beloved figure in the history of the race by running it a record 61 times, died at 97.",44,0
Speech code from IBM to become open source IBM plans to announce Monday that it will contribute some of its speech-recognition software to two open-source software groups. The move is a tactical step by IBM to accelerate the development ,46,0
"New biography describes Audubon #39;s magnetism, obsession He was the 19th-century version of a performance artist, a buckskin-clad faux-frontiersman whose lean and hungry look set drawing-room society all atwitter.",52,0
"Baghdad Deputy Governor Assassinated Gunmen killed the deputy governor of Baghdad today on his way to work, Iraqi officials said. Hatim Kamil was assassinated in a drive-by shooting this morning, said Baghdad Governor Ali al-Haidari.",50,1
"U.N. Pulls Workers From Afghan City The United Nations evacuated 38 foreign employees from this western Afghan city Monday after a day of rioting by supporters of the ousted governor turned half a dozen international aid facilities into smoldering, looted ruins.",52,1
Hearings Open With Challenge to Tribunals The historic opening last week of US military commissions that have not been used since World War II was marked by twists and turns and a carefully crafted defense strategy ,40,1
UN nuclear watchdog chief wants SKorea to come clean SEOUL : UN nuclear watchdog chief Mohamed ElBaradei said he wants South Korea to come clean about past unauthorized nuclear experiments and not to repeat its mistake.,42,1
Protests over tough Dutch budget The Dutch government unveils its austerity budget for 2005 amid protests by the public at the plans for painful reform.,32,0
Burma to relaunch democracy talks \Burma sets a new date for a constitutional conference seen as a first step towards democracy.,27,1
"US, Jamaica wait to tip hands KINGSTON, Jamaica -- Twenty-four hours before the US National Team takes on the Jamaicans in their first CONCACAF World Cup qualifying semifinal round match, and the Americans were nowhere to be found. ",50,0
"US goes to El Salvador in search of road points Washington, DC (Sports Network) - The United States men #39;s national team is aware of its struggles in Central America, but knows it needs points Saturday in El Salvador to assure a spot in the next World Cup qualifying round.",60,0
"Paris report: Open-source move could be costly A complete switch ""would mean significant additional costs without improving the service provided,"" a French official says.",31,0
"LPGA: Park Feels at Home in the Desert (AP) AP - Although the Southern California desert is a long way  #151; and drastically different  #151; from her native South Korea, Grace Park feels at home among the sand and the cacti.",58,0
"Singapore: Arafat #39;s death chance for peace Singapore hopes President Yasser Arafat #39;s death will be  quot;an opportunity for a lasting, just and peaceful solution to the Arab-Israeli issue, quot; a spokesman said.",55,1
"Iraq, Afghanistan seek continued aid NEW YORK-The Iraqi and Afghan leaders both asked Prime Minister Junichiro Koizumi to continue assisting their war-ravaged countries, Japanese officials said Tuesday.",39,1
"Consumer Sentiment Improves in November  NEW YORK (Reuters) - U.S. consumers have grown more  cheerful so far this month as the hotly contested presidential  election drew to a close and job prospects seemed to improve,  according to a survey released on Friday.",54,0
"Figo has a break from international soccer match LISBON, Aug. 18 (Xinhuanet) -- Portugal captain Luis Figo said here on Wednesday he was taking a break from international soccer, although he would not confirm if the decision was final. ",54,0
"Russia #39;s space agency approves station crew An American and a Russian, both space veterans, have been selected as the next replacement crew for the international space station, a Russian agency spokesman said Tuesday.",43,0
"Marlon hails sprint revival Gold medal-winning Marlon Devonish says the men #39;s 4x100m Olympic relay triumph puts British sprinting back on the map. Devonish, Darren Campbell, Jason Gardener and Mark Lewis-Francis edged out the American ",58,0
"UN Peacekeepers, Haitian Police Arrest 75 in Sweep UN peacekeepers and Haitian police say 75 people have been arrested during a sweep aimed at curtailing violence in the capital city of Port-au-Prince.",46,1
From War-Torn to Wonderland Honduras and other Central American countries once embroiled in war have become hot markets for affordable beachfront property.,27,1
"Fernando Poe Jr., 65, Philippine Actor-Politician, Dies Fernando Poe Jr., the action film star and presidential candidate who refused to concede the election in May, died early Tuesday after suffering a stroke.",44,1
It #39;s time for US action on global warming The Bush administration would like to throw cold water on the idea of doing anything substantive about global warming. But the heat should be on the president until the United States limits emissions of greenhouse gases.,52,0
"Ebay snaps up Rent.com for \$415 million Ebay Inc. has agreed to acquire property listings site Rent.com Inc. for US\$415 million in its latest move to expand beyond online auctions, the company said late Thursday.",51,0
"Taiwan Court Won #39;t Nullify March Election Taiwan #39;s High Court ruled against nullifying the March 20 presidential election on Thursday, rejecting opposition claims that the vote was marred by fraud and a shooting that ",50,1
Finance ministers meet to settle dispute over offshore oil revenue (Canadian Press) Canadian Press - OTTAWA (CP) - Finance Minister Ralph Goodale sat down Friday with his counterparts from Newfoundland and Nova Scotia to try to work out a deal on the sharing of offshore oil and gas revenue.,57,1
"Wholesalers post sixth straight monthly sales increase: StatsCan OTTAWA (CP) - Wholesale sales grew for the sixth consecutive month in August, Statistics Canada says. Sales were up by 0.7 per cent from July in part because of a surge in sales of machinery and electronic equipment.",60,0
"Brockton upends St. John's Prep The Boxers were supposed to be vulnerable, coming off their first loss of the season at the hands of Xaverian.",36,0
"Frail Pope Ends Tiring Lourdes Pilgrimage  LOURDES, France (Reuters) - Pope John Paul, a sick man  among the sick, wound up a emotional visit to this miracle  shrine Sunday and struggled with iron determination to finish a  sermon in order to encourage others suffering around him.",64,1
Explosives Found In Wreckage Of Both Russian Planes 29 August 2004 -- Russian investigators are continuing their probe into the near simultaneous crashes of two airliners on 24 August after finding traces of explosives at both wreckage sites.,51,1
"Guidant says stent #39;s market share up Indianapolis-based Guidant Corp., which co-promotes Johnson  amp; Johnson #39;s Cypher drug-coated heart stent, says the device #39;s market share has risen by as much as half, helped by Boston Scientific Corp.",67,0
"Dodge Durango, Dakota Trucks Recalled Bowing to pressure from federal safety regulators, DaimlerChrysler AG is recalling 600,000 Dodge Durango SUVs Dakota pickup trucks because of a defect that can cause their wheels to fall off.",50,0
"Athletics: Montgomery and Gaines doping cases postponed LAUSANNE, Switzerland : Doping cases of world 100m record holder Tim Montgomery and Chryste Gaines have been postponed, the Court of Arbitration for Sport (CAS) said.",48,0
London court backs probe into Iraqi civilian death A London court on Tuesday backed anindependent inquiry into an Iraqi civilian allegedly killed by British soldiers but ruled out judicial reviews into five other civilian deaths in southern Iraq.,41,1
"Japan: Participation, Not Pledges, Key in Iraq Meet (Reuters) Reuters - Japan hopes new pledges to rebuild Iraq\will emerge as international donors meet in Tokyo from\Wednesday, but it sees broader participation in stabilizing the\war-torn country as even more important than fresh funds.",60,1
"Palestinians Denounce U.S. Over Settlement Shift  RAMALLAH, West Bank (Reuters) - Palestinians accused the  United States on Sunday of destroying hopes of negotiations  with Israel for a Palestinian state, after Washington signaled  it could accept some growth of settlements in the West Bank.",61,1
"Ancient Language Clings to Life at Tip of Britain (Reuters) Reuters - Lisa Simpson,\the spiky-haired U.S. cartoon character, may just be the spark\that revives an ancient language and fuels a tiny political\movement at the tip of Britain's southwest coast.",60,1
Democrats Make Lackluster Gains in HK Elections  HONG KONG (Reuters) - Hong Kong's democrats fell short  Monday of expectations in legislative elections after voters  wary of alienating China's communist rulers chose the stability  offered by the Beijing camp.,54,1
"Parliamentarians Not To Compromise Governance For Personal Gains: Musharraf ISLAMABAD, Pakistan : Aug 18 (PID) - President General Pervez Musharraf Tuesday urged the Parliamentarians not to compromise governance for personal gains and work selflessly to serve the people and earn a rightful place for the country in the comity of ...",68,1
"MVP Ortiz shouldered the load Pucker up, New Englanders. Soaked in champagne and grateful for one player as much as any other, Red Sox president and CEO Larry Lucchino said of David Ortiz after the club clinched its 11th American League pennant,  quot;He has such big shoulders and he carries this team on the field and off the field. We're extraordinarily fortunate, ...",84,0
India fight back to beat Germany in Champions Trophy (AFP) AFP - India came from behind to defeat new-look Germany 3-1 and remain in contention for a podium finish in the men's Champions Trophy field hockey tournament here.,49,1
"China Sees End of an Era (Los Angeles Times) Los Angeles Times - BEIJING  #8212; More than a year after becoming China's president, Hu Jintao was handed the full reins of power Sunday when his predecessor, Jiang Zemin, gave up the nation's most powerful military post.",68,1
"FedEx Ordered to Repay US \$29 Million FedEx Corp. #39;s (FDX.N: Quote, Profile, Research) express air shipping unit has been ordered by the US government to repay \$29 million in excess funds received under an act established after the Sept.",61,0
"Sharon wins key Gaza vote THE Israeli parliament approved last night the controversial plan of Ariel Sharon, the Prime Minister, to withdraw all Jewish settlers from the Gaza Strip and four isolated settlements in the West Bank.",41,1
"Afghan president under fire Afghanistan #39;s president, Hamid Karzai, yesterday evaded an apparent assassination attempt, when a rocket attack missed his helicopter.",33,1
"Winky repeats over Shane It was much closer than the first time, but the result was the same when Winky Wright and Shane Mosley left the ring at the Mandalay Bay Event Center last night.",41,0
"Darfur Peace Talks Seek to Break Deadlock ABUJA, Nigeria Oct 25, 2004 - Sudan #39;s government and rebels met Monday to try to break a deadlock over key security issues holding up the signing of an accord to grant humanitarian organizations wider access to hundreds of thousands of refugees of the ",69,1
"Lebanese hostage freed in Iraq Two Lebanese held hostage in Iraq for more than two months have been freed and returned home, officials said in Beirut Friday. Marwan Kassar and Mohammed Hussein, who had been working in Iraq for the Lebanese ",49,1
"Venezuelan president says OPEC output OK as is, \$30 US a floor &lt;b&gt;...&lt;/b&gt; Venezuela #39;s president said Thursday he supports keeping OPEC oil production at current levels, contracting comments by his energy minister who said last week that Venezuela would support a production cut.",69,0
Golf: Woods reveals Cup ambition Tiger Woods wants to be a playing vice-captain in the next US Ryder Cup team.,25,1
